Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
March 4,World of 8 Billion Student Video Contest,"$300-$1,200","K-8, High school",https://www.worldof8billion.org/video-contest/,,"Students must currently be in grades 6 to 12 (in the U.S.), or the international equivalent, to enter the contest."
March 5,Patient Advocate Foundation Undergraduate Scholarship,"$3,000 annually","High school, Undergraduate",https://www.patientadvocate.org/connect-with-services/apply-for-a-scholarship/,,"Must be a Citizen of the United States.
Applicant must be under the age of 25.
Must have been diagnosed with and/or been actively treated for a cancer or chronic disease within the past five years"
March 5,Patient Advocate Foundation Graduate Scholarship,"$3,000 annually",Graduate,https://www.patientadvocate.org/connect-with-services/apply-for-a-scholarship/,,"Must be a Citizen of the United States.
Must have been diagnosed with and/or been actively treated for a cancer or chronic disease within the past ten years.
Must be pursuing a Master’s degree or higher."
March 5,AFA Leader and Academic Scholarships,"$1,600 and $3,250","High school, Undergraduate",https://www.agfuture.org/scholarships,,Graduating high school seniors and current undergrads enrolled in an agriculture or food-related degree program in the U.S.
March 6,AAHD Frederick J. Krause Scholarship on Health and Disability,"$1,000",Undergraduate,https://aahd.us/initiatives/scholarship-program/,October 1,"Scholarship is open to college sophomores, juniors, and seniors who are enrolled full-time and have a disability as defined by the Americans with Disabilities Act. Preference will be given to students majoring in public health, disability studies, health promotion or a field related to disability and health."
March 6,DCU Memorial Scholarship Program,"$1,500-$2,500",High school,https://www.dcuforkids.org/scholarships/,December 12,Scholarship is open to graduating high school seniors who will be attending college in the Fall.
March 6,George E. Allen Academic Scholarship,"$2,000",High school,https://www.allenandallen.com/about/community-involvement/gea-scholarship/#,December 5,"The applicant must be a senior in a Virginia high school whose plans include advanced education through college, nursing, business, trade, technical training, or similar programs. 
Future plans are not required to be in Virginia."
March 7,Women’s Western Golf Foundation Scholarship,"$20,000",High school,https://www.wwga.org/scholarships,November 1,"Woman high school senior and meet the following requirements:
Active participant in the sport of golf (golf ability is not a criterion for selection)
Have a 3.5 GPA or above on a 4.0 scale
Demonstrate outstanding character, integrity and leadership
Require financial assistance to attend a four year college in the U.S.A."
March 8,USDA 1890 National Scholars Program,Full tuition,High school,https://www.usda.gov/partnerships/1890NationalScholars,December 15,"Open to high school seniors entering their freshman year of college, and rising college sophomores and juniors"
March 9,Create-a-Greeting-Card Scholarship,"$10,000","High school, Undergraduate, Graduate",https://www.gallerycollection.com/greetingcardscontests.htm?location=static-lower,July 9,"Must be 14 years or older at time of entry and be enrolled in High School, College, University or Homeschool."
March 9,NCAA Postgraduate Scholarship program,"$10,000",Undergraduate,https://www.ncaa.org/sports/2013/11/21/ncaa-postgraduate-scholarship-program.aspx,January 12,"Must be in final season of NCAA athletics eligibility or must have completed athletic eligibility,
Must be in final year of undergraduate academic work or received an undergraduate degree.
Have an overall undergraduate minimum cumulative grade-point average of 3.200 (based on a 4.000 scale) or its equivalent, including all undergraduate hours earned at all undergraduate institutions attended
Must enroll in a graduate degree granting program on a part- or full-time basis at an academically accredited graduate or degree-granting professional school."
March 9,Rising Stars Scholarship,"$1,000",Undergraduate,https://www.knoxvillecriminaldefenselaw.com/scholarship,,"Have been attending an undergraduate program for at least one year
Have improved their GPA by at least one point at any time while attending college
Are a citizen or lawful permanent resident of the United States
Are at least 17 years old"
March 12,Educational Equity Scholarship Program,"$5,000-$10,000","High school, Undergraduate, Graduate",https://www.dominionenergy.com/about/our-company/charitable-foundation/educational-equity-scholarships,,"Be a high school senior or graduate or current college undergraduate residing in one of the following states:
CT, VA, MD, NC, SC, and WV         
Plan to enroll in full-time undergraduate study at an accredited two- or four-year college, university or vocational-technical school for the entire upcoming academic year.
Have a minimum grade point average of 3.0 on a 4.0 scale (or its equivalent)."
March 13,The Quell Foundation Survivor Scholarship,"Up to $2,000","High school, Undergraduate, Graduate",https://thequellfoundation.org/scholarships/,March 6,"Open to high school seniors or current undergraduate/graduate students who have experienced the devastating loss of a parent, caregiver, or sibling to suicide"
March 13,The Quell Foundation First Responder Legacy Scholarship,Varies,"High school, Undergraduate, Graduate",https://thequellfoundation.org/scholarships/,March 6,"High school seniors or current undergraduate/graduate students who have experienced the devastating loss of a parent (who served as a first responder- ie law enforcement, fire, EMS, dispatch, corrections) to a line of duty death or suicide"
March 13,The Quell Foundation Fighter Scholarship,"Up to $1,500","High school, Undergraduate, Graduate",https://thequellfoundation.org/scholarships/,March 6,High school seniors or current undergraduate/graduate students that are being treated for a diagnosed mental health condition
March 13,Stossel in the Classroom Video Contest,"$200, $1,000, $2,500","K-8, High school, Undergraduate",https://stosselintheclassroom.org/video-contest/,September 10,"Open to students in grades 5-12 and undergraduate college students residing in the U.S., Canada, or at a U.S. military address"
March 14,The Quell Foundation Bridge the Gap Clinical Licensure Grant,Varies,Graduate,https://thequellfoundation.org/scholarships/,March 1,The Quell Foundation Bridge the Gap Clinical Licensure Grant is awarded to an individual who has earned a Master’s degree in a mental health–related field that is eligible for clinical licensure in the state in which the recipient plans to practice.
March 14,Undergraduate Nursing Scholarships,"$10,000",Undergraduate,https://www.marchofdimes.org/our-work/health-professionals/awards-and-scholarships/nursing-scholarships,,Must be enrolled in an accredited undergraduate nursing program and have a commitment to working in maternal or infant health after graduation
March 14,Graduate Nursing Scholarships,"$10,000",Graduate,https://www.marchofdimes.org/our-work/health-professionals/awards-and-scholarships/nursing-scholarships,,Available to registered nurses enrolled in an accredited master's or doctoral nursing program
March 15,The Barron Prize,"$10,000","K-8, High school",https://barronprize.org/apply/,January,"Applicant must be between the ages of 8 and 18 (not yet age 19)
Applicant must be a permanent, legal resident of the U.S. or Canada with a social security number or valid tax i.d. number.
Applicant must be currently residing in the 50 U.S. states, District of Columbia, or Canada."
March 15,"Morris J. & Betty Kaplun Essay Contest
","$500-$1,800","K-8, High school",https://www.kaplunfoundation.org/essay-contest,,"Open to students in grades 7, 8,9, 10, 11, and 12 attending any school, including home school, anywhere in the world."
March 15,Shell Technical Scholarship,"$2,500",High school,https://www.shell.us/about-us/careers/shell-graduate-program/scholarships.html#tab-high-school-senior-students,,"Plan to enroll full-time in one of the following majors (geology, geophysics, physics, chemical, civil, electrical, geological, geophysical, mechanical or petroleum engineering) at a specified institution"
March 15,Shell Technical Scholarship for Undergraduate Students,"$5,000",Undergraduate,https://www.shell.us/about-us/careers/shell-graduate-program/scholarships.html#tab-shell-technical-scholarship,August,"Candidates must be enrolled as a freshman, sophomore, or junior for the current academic year.
Candidates must be enrolled full-time students in the year of the scholarship award.
Candidates must have a minimum 3.20 cumulative GPA (will not be rounded) on a 4.0 scale.
Candidates must major in one of the following disciplines: geology, geophysics or physics; chemical, civil, electrical, environmental, mechanical, petroleum, geological, or geophysical engineering."
March 15,National Restaurant Association Educational Foundation (NRAEF) Scholarship,"$2,500-$10,000","Undergraduate, Graduate",https://chooserestaurants.org/programs/scholarships-grants/scholarships/,January 15,"Anyone enrolled as a full-time or part-time student at an accredited post-secondary institution pursuing a restaurant, food service, or hospitality-related degree.
Graduate student pursuing a degree in supply chain and viticulture only."
March 15,Go Skills Scholarship,"$2,000","K-8, High school, Undergraduate, Graduate",https://www.goskills.com/scholarship,,Young women with a business idea or a newly launched business
March 15,Navy League Foundation Scholarships,"$1,000-$10,000",High school,https://www.navyleague.org/programs/navy-league-foundation-scholarships/,,"The Navy League Foundation offers scholarships to high school seniors who will attend an accredited institution of higher education in the fall of the current award cycle. 
Eligible applicants must be a dependent, child, stepchild, grandchild, step-grandchild, or great-grandchild (direct descendant) of a current or former member of the U.S. Navy, Marine Corps, Coast Guard, or U.S.-flag Merchant Marine."
March 15,ISC2 Academic Scholarships,"$3,000-$5,000","High school, Undergraduate, Graduate",https://www.iamcybersafe.org/s/academic-scholarships,January 15,"Must be pursuing, or plan to pursue, a degree with a focus on cybersecurity, information assurance or similar field. 
Must be pursuing one of the following degree types: two (2) year associate's degree, four (4) year bachelor's degree, Master’s degree, and Doctoral program (PhD) 
GPA must be at least 2.5 on a 4.0 scale 
You may be a citizen of any country (US citizenship not required) 
May be attending in the US or internationally "
March 15,Pediatric Dentist of Tomorrow Scholarships,$500,"Undergraduate, Graduate",https://smilereef.com/pediatric-dentist-of-tomorrow-scholarship/,March 15 (a year prior),"Any student currently attending a college, university, dentist school, or specialization school, or will be attending within 1 year, and hopes to enter the dental field in the future."
March 15,Scholarship for Minority Accounting Students,"$3,000-$10,000","Undergraduate, Graduate",https://www.thiswaytocpa.com/education/scholarship-search/scholarship-minority-accounting-students/,December 1,"Scholarship is open to full-time minority students pursuing an undergraduate or graduate degree in accounting or an accounting-related major. 
Applicant must have at least a 3.0 GPA and be a U.S. citizen or permanent resident."
March 15,UCT Heaston Scholarship Program,"$3,000-$6,000",High school,https://www.uct.org/the-uct-heaston-scholarship/,,"Scholarships are open to high school seniors who demonstrate evidence of hard work to overcome obstacles, academic success, extracurricular success in high school, and commitment to community service."
March 15,The Jack & Betty Heaston Memorial Scholarship,"$6,000",High school,https://uctna.clubexpress.com/content.aspx?page_id=22&club_id=417467&module_id=667261,,Open to students with the equivalent of high school senior status. Students must be enrolled and entering a college program in the coming academic year.
March 15,The Betty Y. Heaston Memorial Scholarship,"$3,000",High school,https://uctna.clubexpress.com/content.aspx?page_id=22&club_id=417467&module_id=667261,,Open to students with the equivalent of high school senior status. Students must be enrolled and entering a college program in the coming academic year.
March 15,The Jack Heaston Memorial Scholarship,"$3,000",High school,https://uctna.clubexpress.com/content.aspx?page_id=22&club_id=417467&module_id=667261,,Open to students with the equivalent of high school senior status. Students must be enrolled and entering a college program in the coming academic year.
March 15,Kailee Mills Foundation Scholarship Program,"$5,000-$20,000","High school, Undergraduate",https://www.kaileemillsfoundation.org/scholarships/,,"Be a high school senior or current post-secondary undergraduate with a current GPA of 3.2 or higher on a 4.0 scale
Receive or have received a high school diploma at/by the end of the graduating school year. (If you are a current college student, you must have taken classes consecutively).
Be enrolled or plan to enroll in an accredited 2-year or 4-year college or university in a full-time (at least 12 hours) degree-seeking program for the first time
Be a US citizen or legal resident. "
March 15,Becca's Closet Spirit of Community Scholarship,Varies,High school,https://www.beccascloset.org/scholarships/,,"Graduating high school senior in the United States
Minimum 2.0 unweighted GPA (4.0 scale)
Demonstrated financial need (must submit full 2026–2027 FAFSA Submission Summary showing SAI)
Will attend a regionally accredited 2- or 4-year college, university, or technical/vocational school in Summer/Fall 2026
U.S. citizen or legal resident"
March 15,Becca's Closet Involvement Scholarship,Varies,High school,https://www.beccascloset.org/scholarships/,,"Graduating high school senior in the United States
Minimum 2.0 unweighted GPA (4.0 scale)
Outstanding, documented contribution to the local community through the creation of or involvement in a Becca’s Closet chapter (or a supporting organization program), with plans in place for the chapter to continue after graduation
Will attend a regionally accredited 2- or 4-year college, university, or technical school in Summer/Fall 2026
U.S. citizen or legal resident"
March 15,Becca's Closet South Florida Involvement Scholarship,Varies,High school,https://www.beccascloset.org/scholarships/,,"Graduating high school senior in Broward, Miami-Dade, or Palm Beach County, Florida
Minimum 2.0 unweighted GPA (4.0 scale)
Outstanding, documented contribution to the local community through the creation of or involvement in a Becca’s Closet chapter (or a supporting organization)
Will attend a regionally accredited 2- or 4-year college, university, or technical/vocational school in Summer/Fall 2026
U.S. citizen or legal resident"
March 15,Jewish Vocational Service Scholarship Program,"Up to $10,000",High school,https://www.jvs-socal.org/scholarship-application/,,"Must identify as Jewish
Must be at least 16
Must be a permanent and legal resident of Los Angeles County for a minimum of three years
Must be a U.S. citizen or documented legal permanent U.S. resident with a Green Card
Must be planning to attend or are currently attending an accredited public or private college, university, or vocational school in the U.S.
Must be enrolled as a full-time student
Must maintain a minimum 2.7 GPA (per term) for Undergraduate Students or a minimum 3.0 GPA (per term) for Graduate Students
Must have a demonstrated and verifiable financial need"
March 16,Microsoft Disability Scholarship Program,"$5,000 per year (Total: $20,000)",High school,https://www.microsoft.com/en-us/diversity/programs/microsoftdisabilityscholarship.aspx%C2%A0,January 22,"Be a current high school senior.
Plan to enroll in an undergraduate program at an accredited two- or four-year college, university, or vocational/technical school in the United States beginning in the fall of the upcoming academic year.
Pursue a degree in one of the following eligible fields: Engineering​, Computer Science​, Computer Information Systems​, Law, Business (including related fields such as paralegal studies, pre-law, finance, business administration, or marketing)
Have a cumulative high school GPA of 2.5 or higher on a 4.0 scale (or equivalent).
Plan to enroll as a full-time or half-time student."
March 16,Student T-Shirt Design Contest,Varies,"High school, Undergraduate, Graduate",https://pgsf.org/t-shirt-design-contest/,October 1,"Open to all students enrolled in primary, secondary schools, and post-secondary colleges and universities, trade, or apprenticeship programs."
March 17,Voyager Scholarship,"Up to $50,000 in financial aid",Undergraduate,https://www.obama.org/programs/voyager-scholarship/,January 28,"Current college Sophomores who plan to enroll full-time in their junior year of study at an accredited four-year college or university in the United States in Fall 2026. 
Demonstrate financial need—this is calculated using a similar formula to the FAFSA.
Have a minimum grade point average of 3.0 on a 4.0 scale or equivalent. Students are required to upload unofficial transcripts as part of the application process. 
Have demonstrated a commitment to public service.
Plan to pursue a future career in public service upon graduation.
Be a United States (U.S.) citizen, U.S. national, U.S. permanent resident (holders of a Permanent Resident Card), or individuals granted deferred action status under the Deferred Action for Childhood Arrivals Program (DACA)."
March 18,Gordon Hay Scholarship,"$10,000","High school, Undergraduate",https://www.blumenthalarts.org/education/student-programs/scholarships/gordon-hay-scholarship,,"Plans to pursue a non-performing career in theater (costume, lighting, sound and set design, stage management, production management, direction, choreography and other technical non-performing roles)
Is a current high school senior, college freshman, or college sophomore"
March 20,Allwork Scholarship ,"Up to $10,000",Undergraduate,https://www.aiany.org/architecture/competitions-grants/eleanor-allwork-scholarship/,,Students seeking their first degree in architecture from an NAAB-accredited school in the State of New York are eligible.
March 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
March 23,Drive2Life PSA Contest,"$2,000","K-8, High school",https://nrsf.org/contests/drive2life,,Students ages 13-19 in grades 6-12
March 30,.05 BAC PSA 2026 Contest,"$75, $150, $250","K-8, High school",https://courageouspersuaders.com/wp-content/uploads/2026/02/05-PSA-Contest-Final-12.04.2025-2.pdf,,Grades 6-12
March 30,Courageous Persuaders- Distracted Driving Awareness Scholarship,"$2,000",High school,https://courageouspersuaders.com/distracted-driving/#1489503962481-b1168d80-ea38d3eb-d2400966-852616708926653901670893489034,,Open to all students attending a high school in the continental United States only
March 30,Courageous Persuaders- Impaired Driving Scholarships,"$2,000",High school,https://courageouspersuaders.com/impaired-driving/#1489503964921-3acbdde1-0dcfd3eb-d2400966-8526167089266539016708934890341673293869892,,Open to all students attending a high school in the continental United States only
March 30,Courageous Persuaders- Passenger Empowerment,"$2,000",High school,https://courageouspersuaders.com/passenger-empowerment/,,Open to all students attending a high school in the continental United States only
March 30,Courageous Persuaders - Other Scholarships,"$1,000-$2,500",High school,https://courageouspersuaders.com/other-scholarships/,,Open to all students attending a high school in the continental United States only
March 30,The Bank Family Education Fund Scholarship,"$2,000","Undergraduate, Graduate",https://fishndans.com/banks-family-fund/,,"For students interested in outdoors, wildlife, and conservation
The scholarship is open to legal residents of the United States who are at least 18 years of age.
The applicant must be enrolled in an accredited college, undergraduate or graduate degree program in the United States. The scholarship is offered to both part-time and full-time students.
Candidates must be in good academic standing with a minimum cumulative GPA of 3.0 or above."
March 30,First Generation College Student Scholarship,"$2,500","Undergraduate, Graduate",https://www.kadzailawgroup.com/scholarship,,"You must be a first-generation college student at least 17 years of age, enrolled in an undergraduate or graduate program at an accredited college or university within the United State, and a permanent resident or citizen of the United States"
March 30,The Educational Foundation for Women in Accounting,"$3,000",Graduate,"https://www.efwa.org/scholarships_postgraduate.php#:~:text=The%20Laurels%20Fund%20was%20established,D.",,"Applicant must be a woman
Applicant must be pursuing a PhD in business with a concentration in accounting
Applicant must be attending an AACSB accredited college or university
Applicant must be a U.S. Citizen"
March 31,Rural Gone Urban Foundation Scholarship,"$10,000","High school, Undergraduate, Graduate",https://ruralgoneurban.org/scholarships,March 24,"Open to rural female students across the United States who are pursuing post-secondary education
Eligible applicants may attend public, private, or homeschool institutions and must plan to enroll in, or currently be enrolled in, an accredited college or university, trade school, or professional training program.
Applicants may be high school seniors, undergraduate students, or graduate students who have been accepted to or are actively enrolled in a reputable post-secondary institution.
There is no minimum GPA requirement for this scholarship."
March 31,Shell Associate Scholarship Program,"$2,200",Undergraduate,https://www.shell.us/careers/about-careers-at-shell/shell-graduate-program/scholarships.html#vanity-aHR0cHM6Ly93d3cuc2hlbGwudXMvY2FyZWVycy9zdHVkZW50cy1hbmQtZ3JhZHVhdGVzL3NjaG9sYXJzaGlwcy9iYWNoZWxvcnMtZGVncmVlLXN0dWRlbnRzLmh0bWw,January 27,"Candidates must be enrolled full or part-time in an associate or technical degree program and majoring in one of the following disciplines during the year of the scholarship award: Compressor/Compression Technology, Electrical/Electronic Technology, Industrial Maintenance Technology, Integrated Production Technology, Instrumentation/Analyzer Technology, Machine Tool Technology, Machinist/Mechanical Technology, Pipefitting, Pipeline Integrity, Process Technology, Welding.
Candidates must maintain a minimum 3.25 cumulative GPA (will not be rounded) on a 4.0 scale throughout any participation in the scholarship program"
March 31,Brower Youth Awards for Environmental Leadership,"$3,000","High school, Undergraduate",https://www.broweryouthawards.org/programs/brower-youth-awards/apply/#application,,"Youth environmental change leaders ages 13 to 22 (as of the application deadline) living in North America (including Mexico, Canada, and U.S. territories) are encouraged to apply. "
March 31,College JumpStart Show Grit Scholarship,"$1,000","High school, Undergraduate",https://www.jumpstart-scholarship.net/application-show-grit-scholarship,,"Current student (high school 10th-12th or college) or planning to enter college within the next 12 months
U.S. citizen or legal resident"
March 31,National Federation of the Blind Scholarships,"$10,000","High school, Undergraduate",https://www.nfb.org/programs-services/scholarships-and-awards/scholarship-program,,"Must be legally blind (PDF) in both eyes.
Must be residing in the United States, the District of Columbia, or Puerto Rico.
Must be 18 years of age by July 3, 2026.
Must be pursuing or planning to pursue a full-time, post-secondary course of study in a degree program at a United States institution in the fall of the year of application"
March 31,The Albert W. Dent and Foster G. McGaw Graduate Student Scholarship,"$5,000",Graduate,https://www.ache.org/membership/student-resources/albert-w-dent-graduate-student-scholarship,January 2,"Student enrolled full-time in a healthcare management graduate program - MHA, MPH, MBA in Healthcare Administration or similar.
You are entering your final year (fall/spring) of full-time study.
You expect to graduate between Sept. 1, 2026 and Aug. 31, 2027.
If you currently hold a paid healthcare management position, you are not eligible to apply.  
Doctoral students are also not eligible to apply.
You are a U.S. citizen or lawful permanent resident; or a Canadian citizen."
March 31,"National High School Poetry Contest
",$100-$500,High school,https://www.highschoolpoetrycontest.com/to-enter.html,,All U.S. high school students are eligible to enter this contest
March 31,"$1,000 Dreams Scholarship","$1,000","High school, Undergraduate, Graduate",https://1000dreamsfund.org/programs/1000-dreams-scholarship-fund/,,"All women enrolled in a U.S. based institution – high school, college, university, graduate school, etc. – are able to apply regardless of citizenship. 
You must show proof of current enrollment in a United States based school."
March 31,Dr. Arthur A. Kezian DDS Science Scholarship,"$1,200","High school, Undergraduate, Graduate",https://www.drkezian.com/science-scholarship/,,"Applicants are required to be high school seniors to graduate students in university, majoring in a science field and pursuing advanced education
Must be at least 18 years of age
Must be attending a College or University
Must be a resident of the United States or Canada"
March 31,American Galvanizers Associations (AGA) Galvanize the Future: A Richard L. Brooks Memorial Scholarship Essay Contest,"$2,500","Undergraduate, Graduate",https://galvanizeit.org/education-and-resources/education/university-program/scholarship,,"Any full- or part-time, undergraduate or graduate student of any age enrolled at an accredited college or university only in North America, during the 2024-2025 school year majoring in architecture, civil engineering, structural engineering, construction management, material science, or other related field"
March 31,George M. Burditt/Betsy B. Woodward/Denise C. Rooney Scholarship,"$2,500","Undergraduate, Graduate",https://www.afdo.org/grants/afdo-scholarship/,,"Any full- or part-time, undergraduate or graduate student of any age enrolled at an accredited college or university only in North America, during the 2024-2025 school year. High school students are not eligible to enter this contest. 
Qualifying majors include architecture, civil engineering, structural engineering, construction management, material science, or other related field."
March 31,Hard of Hearing or Deaf Scholarship,"$1,000",Undergraduate,https://www.sertoma.org/What-we-do/Scholarships,November 1,"Must have a minimum 40dB bilateral hearing loss, as evidenced on audiogram by SRT or PTA scores.
Must be a citizen of the United States of America.
Must be pursuing a bachelor’s degree on a full-time basis at a college or university in the United States
Must have a minimum cumulative 3.2 GPA on a 4.0 un-weighted scale"
March 31,"Communicative Disorders Scholarship
","$1,000",Graduate,https://www.sertoma.org/What-we-do/Scholarships,November 1,"Must be a citizen of the United States of America
Must be pursuing a graduate level degree in speech language pathology and/or audiology at a college or university in the United States, accredited by ASHA’s Council on Academic Accreditation
Must have a minimum cumulative 3.5 GPA on a 4.0 scale for all undergraduate, graduate and doctoral level course work. This must include the most recent Fall semester."
March 31,Houzz Scholarship Program,"$2,500","Undergraduate, Graduate",https://www.houzz.com/scholarships,,"All students 17 years of age or older at interior design, architecture, landscape architecture, architectural engineering schools, or skilled trade schools in the U.S. and Canada to apply for one of our five scholarships. 
The Women in Architecture, Residential Design, Sustainable Design and Construction Management scholarships are open to students currently enrolled in an undergraduate or graduate program."
March 31,Residential Construction Management Scholarship,"$2,500",Undergraduate,https://www.surveygizmo.com/s3/4479814/Houzz-Scholarship-Q1-Construction-Management-2018,,Open to students pursuing trade certification or A.S. degrees through vocational or community college programs who plan to focus on residential construction and remodeling work professionally.
March 31,Mae & Mary Legacy Foundation Scholarship,Varies,High school,https://www.maeandmarylegacyfoundation.org/apply,January 1,"Applicants must be African American students
Applicants must be graduating a high school senior
Students from anywhere in the United States can apply 
Applicants must attend a two/four-year university or technical school
Scholarship awards must be used for tuition, books, fees or other need while attending the institution"
March 31,NetJets Scholarship,"$25,000","High school, Undergraduate, Graduate",https://columbusfoundation.org/students/scholarships/scholarship-detail/NetJetsScholarship/474,,"Candidates must be accepted or currently majoring in Aviation or Hospitality.
Candidates must have a minimum 3.5 grade point average (GPA).
Candidates must be enrolled, or enrolling, full-time status at an eligible educational institution in the U.S.
Candidates must have the ability to work and reside in the United States."
March 31,Robert Redick Memorial Scholarship,"$5,000","High school, Undergraduate, Graduate",https://www.knrlegal.com/scholarship/,,"Be a resident of Ohio.
Be accepted to or currently enrolled in an accredited college, university, or graduate program within the United States.
Have a cumulative GPA of 3.0 or higher.
Demonstrate good character and high initiative"
March 31,Young American Creative Patriotic Art Contest,"Up to $5,500",High school,https://vfwauxiliary.org/scholarships/young-american-creative-patriotic-art-contest/,,"Students in grades 9-12 who are enrolled in a public, private or parochial high school or home study program in the United States, its territories and possessions; or dependents of U.S. military or civilian personnel in overseas schools.
Although U.S. citizenship is not required, students must be permanent residents or have applied for permanent residence status (the application for which has not been denied) to become a U.S. citizen."
March 31,USMA/Blake Family Foundation Metric Awards,"$1,000-$2,000",High school,https://usma.org/metric-awards,October 1,Open to US high school senior students
March 31,Gold Award Girl Scouts,"$5,000",High school,https://www.girlscouts.org/en/members/for-girl-scouts/badges-journeys-awards/highest-awards/gold-award/gold-award-scholarship.html,,"Current high school seniors who earned or will earn anytime before April 1, 2026
Recent high school graduates who earned in their senior year after March 31, 2025"
March 31,Ron Hubbard Writers of The Future Contest,"$500, $750, $1,000","High school, Undergraduate, Graduate",https://www.writersofthefuture.com/enter-writer-contest/,April 1,New writers of science fiction and fantasy
March 31,Ron Hubbard Illustrators of The Future Contest,$500,"High school, Undergraduate, Graduate",https://writersofthefuture.com/enter-the-illustrator-contest/,April 1,New science fiction and fantasy artists
March 31,Regions Riding Forward Scholarship Contest,"$8,000","High school, Undergraduate",https://www.regions.com/about-regions/inclusion-belonging-impact/supporting-communities/essay-contest-scholarship,January 1,"Be a legal U.S. resident of one of the Eligible States: Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee and Texas
Be age 16 or older.
Have at least one (1) year (or at least 18 semester hours) remaining before your undergraduate college graduation.
If you are not yet in college, begin your freshman year of college no later than the start of the 2027 – 2028 college academic school year.
As of your most recent school enrollment period, have a cumulative grade point average of at least 2.0 in school (and if no GPA is provided at school, be in “good standing” or the equivalent thereof in school)."
March 31,J&Y “Books for Good” Scholarship,$300,"Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
March 31,Driver Education Initiative Award – Annual Scholarship Opportunity,$500,"High school, Undergraduate, Graduate",https://www.dmvedu.org/scholarship/,January 3,"Applicants must be currently enrolled in either High School, University or College."
March 31,"Young American Creative Patriotic Art Contest
","Up to $37,000",High school,https://vfwauxiliary.org/scholarships/young-american-creative-patriotic-art-contest/,,"Students in grades 9-12 by the March 31 deadline who are enrolled in a public, private or parochial high school or home study program in the United States, its territories and possessions; or dependents of U.S. military or civilian personnel in overseas schools.
Although U.S. citizenship is not required, students must be permanent residents or have applied for permanent residence status (the application for which has not been denied) to become a U.S. citizen.
Foreign exchange students, students age 20 or older, GED and adult education students, or national winners of previous Young American Creative Patriotic Art Contests are ineligible."
March 31,3-Dimensional Patriotic Art Contest:,"$5,500",High school,https://vfwauxiliary.org/scholarships/young-american-creative-patriotic-art-contest/,,"Students in grades 9-12 by the March 31 deadline who are enrolled in a public, private or parochial high school or home study program in the United States, its territories and possessions; or dependents of U.S. military or civilian personnel in overseas schools.
Although U.S. citizenship is not required, students must be permanent residents or have applied for permanent residence status (the application for which has not been denied) to become a U.S. citizen.
Foreign exchange students, students age 20 or older, GED and adult education students, or national winners of previous Young American Creative Patriotic Art Contests are ineligible."
March 31,Self Help Community Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.self-help.org/updates/self-help-community-scholarships,,"Open to students planning to attend or currently attending any post-secondary educational institution including universities, colleges, technical schools, trade, and vocational institutions."
March 31,SuperCollege Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.supercollege.com/scholarship/,,"Open to all students -- high school, college, grad or adult -- who are currently in college or plan to start"
March 31,The Home Depot Foundation Path to Pro Scholarship,"$2,500","High school, Undergraduate, Graduate",https://webportalapp.com/sp/login/skillpointefoundation_homedepot-pathtopro,,"Be a high school senior, high school graduate or have a GED equivalent.
Plan to enroll, or be enrolled within 1 year, in an approved trade-related program at an accredited two-year school or institution (i.e. technical/vocational school, community college or training center) in the United States.
Programs/Career Paths: Carpentry, Construction Management, Electrical, HVAC, Plumbing."
April 30,Flora Marie Jenkins Memorial Disability Scholarship,"$5,000","High school, Undergraduate",https://disabilitydenials.com/scholarships/disability-scholarship/,November 1,"Be a U.S. citizen or legal permanent U.S. resident with a documented disability
Be accepted to an institution of higher learning (two- or four-year undergraduate program) – or –
Be enrolled in a two- or four-year undergraduate program currently"
April 1,Debt.com Scholarship For Aggressive Scholarship Applicants,"$1,000","Undergraduate, Graduate",https://www.debt.com/our-story/scholarships/,,College freshmen to senior citizens and everyone in between can apply
April 1,Annual Scholarship Sponsored by Double A Solutions,"$1,000","High school, Undergraduate, Graduate",https://www.doubleasolutions.net/scholarship/,January 1,"You must presently be a senior in high school, be transitioning from high school to college or university, and be already enrolled in a college or university at any level in the United States or Canada."
April 1,AMS Senior Named Scholarships,"$2,000-$10,000",Undergraduate,https://www.ametsoc.org/ams/information-for/students/ams-scholarships-and-fellowships/ams-senior-named-scholarships/,,"Applicants must be entering their final year of undergraduate study in the fall of 2026 and provide evidence of acceptance as a full-time student at an accredited U.S. institution at the time of the award. 
Applicants must be pursuing a degree in the atmospheric or related sciences. 
Applicants must have a minimum grade point average of 3.0 on a 4.0-point scale.
Applicants must be U.S. citizens or hold permanent resident status.  No age restriction exists."
